Id,Description,Expense_Type,Amount,Date
1,launch,fun,10.0,2025-12-07
2,dinner,fun,89.0,2025-12-07
1,idle,grocry,100.0,2025-12-07
1,idle,grocry,100.0,2025-12-07
3,Grocry,grocry,12.0,2025-12-08
4,idle,Grocery,89.0,2025-12-08
5,pam,grocry,24.0,2025-12-08
6,Lidle,Food,30.63,2025-12-14
7,Iper,Grocery,98.28,2025-12-31
8,iper,Grocery,14.59,2025-12-14
9,Lidle,Grocery,27.79,2025-12-07
10,Lidle,Grocery,99.02,2025-12-01
11,Coop,Grocery,17.05,2025-12-01
12,Euro-Spin ,Grocery,33.48,2025-12-19
13,Euro-spin,Grocery,21.41,2025-12-08
14,Iper,Grocery,6.07,2025-12-08
15,Farmacia Bertolini,Medicine,25.45,2025-12-17
16,coop,Grocery,30.52,2025-12-17
